contigName	contigLen	totalAvgDepth	mgERR_sample0_aligned_reads.sort.bam	mgERR_sample0_aligned_reads.sort.bam-var
MGYG000000001_1-MGYG000000001-1_3198760_aligned_51_R_16_24234_0	23972	6.33835	6.33835	6.59117
MGYG000000001_1-MGYG000000001-1_631958_aligned_52_R_1_24212_0	23904	6.63645	6.63645	6.91395
MGYG000000001_1-MGYG000000001-1_751906_aligned_53_R_39_23678_1	23386	6.51945	6.51945	6.5514
MGYG000000001_1-MGYG000000001-1_1623487_aligned_54_R_0_23089_0	22778	6.45132	6.45132	6.66228
MGYG000000001_1-MGYG000000001-1_265627_aligned_55_R_398_22916_6	22855	6.3989	6.3989	6.95677
MGYG000000001_1-MGYG000000001-1_2768746_aligned_56_R_0_22514_13	22109	6.50979	6.50979	7.02054
MGYG000000001_1-MGYG000000001-1_116385_aligned_57_R_0_22387_0	21908	6.49129	6.49129	6.52862
MGYG000000001_1-MGYG000000001-1_315495_aligned_58_R_4_22263_21	22068	6.469	6.469	7.00634
MGYG000000001_1-MGYG000000001-1_1785866_aligned_59_R_6_22067_12	21609	6.37435	6.37435	6.83214
MGYG000000002_1-MGYG000000002-1_63857_aligned_60_R_56_22011_45	21724	6.47443	6.47443	6.43357
MGYG000000002_1-MGYG000000002-1_4703_aligned_61_R_12_21850_3	21588	6.49162	6.49162	6.60469
MGYG000000001_1-MGYG000000001-1_3055891_aligned_62_R_12_21758_5	21445	6.41307	6.41307	7.25005
MGYG000000001_1-MGYG000000001-1_1233426_aligned_63_R_6_21679_7	21224	6.37086	6.37086	6.08933
MGYG000000001_1-MGYG000000001-1_2676866_aligned_64_R_24_21289_17	21005	6.49357	6.49357	6.56777
MGYG000000002_1-MGYG000000002-1_10824_aligned_65_R_72_20911_1	20682	6.54319	6.54319	6.76152
MGYG000000002_1-MGYG000000002-1_2625_aligned_66_R_0_20051_18	19668	6.60405	6.60405	6.64001
MGYG000000001_1-MGYG000000001-1_244010_aligned_67_R_3_19882_15	19643	6.47843	6.47843	6.52519
MGYG000000001_1-MGYG000000001-1_1118468_aligned_68_R_0_19392_0	19132	6.4793	6.4793	6.89331
MGYG000000002_1-MGYG000000002-1_1877_aligned_69_R_19_18410_0	18183	6.43914	6.43914	7.20528
MGYG000000001_1-MGYG000000001-1_344612_aligned_70_R_1_17899_0	17562	6.50241	6.50241	6.96319
MGYG000000001_1-MGYG000000001-1_356259_aligned_71_R_16_17871_22	17590	6.35477	6.35477	6.39253
MGYG000000002_1-MGYG000000002-1_69926_aligned_72_R_27_17317_12	17187	6.40885	6.40885	6.33611
MGYG000000001_1-MGYG000000001-1_2663151_aligned_73_R_0_16910_0	16641	6.32561	6.32561	7.15564
MGYG000000001_1-MGYG000000001-1_2209272_aligned_74_R_43_16768_15	16576	6.55214	6.55214	6.76544
MGYG000000002_1-MGYG000000002-1_76540_aligned_75_R_27_16755_15	16476	6.46361	6.46361	6.5365
MGYG000000002_1-MGYG000000002-1_78315_aligned_76_R_46_16730_78	16519	6.27949	6.27949	6.23527
MGYG000000001_1-MGYG000000001-1_2660629_aligned_77_R_264_16554_249	16785	6.61888	6.61888	6.58574
MGYG000000002_1-MGYG000000002-1_18202_aligned_78_R_2_16512_0	16322	6.306	6.306	7.11459
MGYG000000002_1-MGYG000000002-1_73507_aligned_79_R_1_16137_0	15963	6.41007	6.41007	6.2285
MGYG000000002_1-MGYG000000002-1_39924_aligned_80_R_24_16134_15	16068	6.65638	6.65638	6.73295
MGYG000000002_1-MGYG000000002-1_19285_aligned_81_R_4_15694_0	15437	6.42844	6.42844	6.92167
MGYG000000001_1-MGYG000000001-1_759876_aligned_82_R_11_15656_20	15315	6.35366	6.35366	6.14635
MGYG000000001_1-MGYG000000001-1_1363249_aligned_83_R_1_15512_1	15313	6.28693	6.28693	6.00459
MGYG000000001_1-MGYG000000001-1_837417_aligned_84_R_0_15423_0	15079	6.49416	6.49416	7.37607
MGYG000000002_1-MGYG000000002-1_56790_aligned_85_R_173_14927_35	14878	6.45629	6.45629	6.75567
MGYG000000001_1-MGYG000000001-1_2768572_aligned_86_R_0_14798_0	14629	6.26444	6.26444	6.28915
MGYG000000001_1-MGYG000000001-1_131464_aligned_87_R_22_14262_0	14109	6.40003	6.40003	6.8364
MGYG000000002_1-MGYG000000002-1_33627_aligned_88_R_128_13835_64	13785	6.68213	6.68213	6.7929
MGYG000000001_1-MGYG000000001-1_520113_aligned_89_R_3_13462_20	13258	6.5497	6.5497	6.51046
MGYG000000001_1-MGYG000000001-1_109615_aligned_90_R_12_13251_17	13070	6.29468	6.29468	6.01136
MGYG000000002_1-MGYG000000002-1_61719_aligned_91_R_498_13217_1551	14982	6.288	6.288	6.54888
MGYG000000001_1-MGYG000000001-1_2471607_aligned_92_R_0_13070_0	12669	6.47044	6.47044	6.65072
MGYG000000002_1-MGYG000000002-1_6020_aligned_93_R_3857_12926_35	16600	6.71376	6.71376	6.84143
MGYG000000001_1-MGYG000000001-1_2468822_aligned_94_R_0_12734_0	12379	6.54809	6.54809	6.45432
MGYG000000002_1-MGYG000000002-1_84828_aligned_95_R_0_12664_0	12258	6.52221	6.52221	6.60672
MGYG000000001_1-MGYG000000001-1_2561468_aligned_96_R_47_12628_251	12702	6.55245	6.55245	7.40475
MGYG000000001_1-MGYG000000001-1_537024_aligned_97_R_27_12499_15	12493	6.42322	6.42322	6.20593
MGYG000000002_1-MGYG000000002-1_80404_aligned_98_R_3_12008_2	11738	6.44106	6.44106	6.45271
MGYG000000001_1-MGYG000000001-1_957941_aligned_99_R_16_11803_1	11627	6.71259	6.71259	6.72986
MGYG000000001_1-MGYG000000001-1_2246774_aligned_100_R_0_11319_0	11081	6.42337	6.42337	7.86638
MGYG000000001_1-MGYG000000001-1_766333_aligned_101_R_6_11068_0	10806	6.39464	6.39464	7.43494
MGYG000000002_1-MGYG000000002-1_58031_aligned_102_R_1_10910_0	10799	6.49827	6.49827	7.44247
MGYG000000001_1-MGYG000000001-1_376532_aligned_103_R_5_10842_0	10665	6.44534	6.44534	6.11201
MGYG000000002_1-MGYG000000002-1_5939_aligned_104_R_8_10771_4	10535	6.4758	6.4758	6.0741
MGYG000000001_1-MGYG000000001-1_1419536_aligned_105_R_19_10654_0	10454	6.41173	6.41173	6.7287
MGYG000000002_1-MGYG000000002-1_63420_aligned_106_R_83_10364_15	10238	6.45167	6.45167	8.3401
MGYG000000001_1-MGYG000000001-1_1780609_aligned_107_R_44_10350_4	10178	6.37944	6.37944	7.37148
MGYG000000002_1-MGYG000000002-1_72455_aligned_108_R_4_10162_0	9999	6.31781	6.31781	7.01947
MGYG000000002_1-MGYG000000002-1_56656_aligned_109_R_2_9743_2	9635	6.4731	6.4731	7.78844
MGYG000000002_1-MGYG000000002-1_47908_aligned_110_R_140_9453_0	9336	6.56594	6.56594	7.8485
MGYG000000002_1-MGYG000000002-1_83202_aligned_111_R_23_9209_12	9068	6.3876	6.3876	6.43005
MGYG000000001_1-MGYG000000001-1_2656049_aligned_112_R_2_9120_19	8962	6.44685	6.44685	6.21746
MGYG000000001_1-MGYG000000001-1_2388699_aligned_113_R_2_9064_18	8942	6.73468	6.73468	7.34202
MGYG000000001_1-MGYG000000001-1_1137080_aligned_114_R_23_8999_9	8932	6.05944	6.05944	5.84457
MGYG000000002_1-MGYG000000002-1_32668_aligned_115_R_342_8694_64	8942	6.43961	6.43961	6.81277
MGYG000000001_1-MGYG000000001-1_2122596_aligned_116_R_6_8595_10	8441	6.36063	6.36063	6.31625
MGYG000000002_1-MGYG000000002-1_11227_aligned_117_R_12_8540_8	8373	6.56509	6.56509	6.41654
MGYG000000002_1-MGYG000000002-1_42596_aligned_118_R_5_8218_0	8056	6.51483	6.51483	6.9778
MGYG000000001_1-MGYG000000001-1_1075096_aligned_119_R_0_8073_0	7859	6.65717	6.65717	7.30136
MGYG000000001_1-MGYG000000001-1_1829587_aligned_120_R_32_7752_0	7717	6.64159	6.64159	7.04055
MGYG000000001_1-MGYG000000001-1_1069485_aligned_121_R_8_7619_21	7489	6.36541	6.36541	6.81817
MGYG000000001_1-MGYG000000001-1_170640_aligned_122_R_82_7396_19	7355	6.46947	6.46947	7.46666
MGYG000000001_1-MGYG000000001-1_1540076_aligned_123_R_20_7409_0	7256	6.45528	6.45528	7.25624
MGYG000000001_1-MGYG000000001-1_635247_aligned_124_R_1766_7195_16	8922	6.37928	6.37928	5.76113
MGYG000000001_1-MGYG000000001-1_1933464_aligned_125_R_3_7094_0	7076	6.57153	6.57153	6.54392
MGYG000000001_1-MGYG000000001-1_281383_aligned_126_R_29_7109_0	7016	6.69057	6.69057	7.52741
MGYG000000001_1-MGYG000000001-1_1455673_aligned_127_R_0_6945_0	6789	6.66452	6.66452	7.45545
MGYG000000001_1-MGYG000000001-1_2876993_aligned_128_R_2_6753_0	6685	6.41989	6.41989	7.397
MGYG000000001_1-MGYG000000001-1_2268738_aligned_129_R_7_6805_0	6720	6.15982	6.15982	6.23874
MGYG000000001_1-MGYG000000001-1_110181_aligned_130_R_53_6576_0	6537	6.47258	6.47258	5.63386
MGYG000000001_1-MGYG000000001-1_46102_aligned_131_R_393_6557_1	6831	6.2955	6.2955	6.7568
MGYG000000001_1-MGYG000000001-1_105458_aligned_132_R_18_6307_0	6278	6.4877	6.4877	6.89224
MGYG000000001_1-MGYG000000001-1_2109693_aligned_133_R_15_6370_2	6281	6.53713	6.53713	6.59809
MGYG000000001_1-MGYG000000001-1_191473_aligned_134_R_19_6160_0	6038	6.68036	6.68036	6.51939
MGYG000000001_1-MGYG000000001-1_2406180_aligned_135_R_0_5778_0	5667	6.62008	6.62008	7.02333
MGYG000000001_1-MGYG000000001-1_272778_aligned_136_R_3_5655_11	5614	6.82336	6.82336	7.23558
MGYG000000002_1-MGYG000000002-1_27949_aligned_137_R_6_5527_10	5349	6.34578	6.34578	6.50885
MGYG000000001_1-MGYG000000001-1_52089_aligned_138_R_6_5441_0	5357	6.54404	6.54404	6.32007
MGYG000000001_1-MGYG000000001-1_937231_aligned_139_R_0_5337_0	5290	6.41638	6.41638	8.37455
MGYG000000001_1-MGYG000000001-1_918661_aligned_140_R_2_5329_15	5243	6.37157	6.37157	7.90881
MGYG000000001_1-MGYG000000001-1_18278_aligned_141_R_1_5143_0	5108	6.65256	6.65256	8.72997
MGYG000000001_1-MGYG000000001-1_611835_aligned_142_R_546_5054_7	5474	6.36825	6.36825	6.43623
MGYG000000001_1-MGYG000000001-1_544041_aligned_143_R_35_4995_68	5049	6.75793	6.75793	8.20694
MGYG000000001_1-MGYG000000001-1_209809_aligned_144_R_27_5019_65	5017	6.90929	6.90929	6.64503
MGYG000000001_1-MGYG000000001-1_2137029_aligned_145_R_11_4911_1	4788	6.50725	6.50725	7.50664
MGYG000000001_1-MGYG000000001-1_2477178_aligned_146_R_6_4795_10	4753	6.9063	6.9063	5.98056
MGYG000000001_1-MGYG000000001-1_436836_aligned_147_R_0_4740_0	4658	6.52633	6.52633	6.67349
MGYG000000001_1-MGYG000000001-1_2857998_aligned_148_R_0_4699_0	4615	6.40886	6.40886	7.6747
MGYG000000001_1-MGYG000000001-1_925760_aligned_149_R_46_4381_1	4349	6.43351	6.43351	6.35985
MGYG000000001_1-MGYG000000001-1_2021450_aligned_150_R_23_4272_14	4248	6.41152	6.41152	6.06531
MGYG000000001_1-MGYG000000001-1_2519660_aligned_151_R_0_3820_22	3743	6.49794	6.49794	7.52245
MGYG000000001_1-MGYG000000001-1_2251926_aligned_152_R_30_3736_15	3658	6.66863	6.66863	7.1533
MGYG000000001_1-MGYG000000001-1_1521363_aligned_153_R_2_3664_7	3602	6.45774	6.45774	7.99973
MGYG000000001_1-MGYG000000001-1_2757611_aligned_154_R_0_3609_0	3496	6.34158	6.34158	7.84854
MGYG000000001_1-MGYG000000001-1_969126_aligned_155_R_146_3429_19	3504	6.23502	6.23502	6.15874
MGYG000000001_1-MGYG000000001-1_243285_aligned_156_R_5_3148_0	3039	6.4117	6.4117	5.86037
MGYG000000001_1-MGYG000000001-1_2038002_aligned_157_R_0_2859_2	2765	5.97599	5.97599	6.10978
MGYG000000001_1-MGYG000000001-1_246123_aligned_158_R_2_2813_11	2774	7.00636	7.00636	7.8013
MGYG000000001_1-MGYG000000001-1_992397_aligned_159_R_2543_2792_1445	6695	6.36497	6.36497	4.68761
MGYG000000001_1-MGYG000000001-1_2144529_aligned_160_R_34_2786_3	2813	6.64209	6.64209	7.13467
MGYG000000001_1-MGYG000000001-1_2124845_aligned_161_R_4_2432_0	2370	6.7	6.7	7.96945
MGYG000000001_1-MGYG000000001-1_809830_aligned_162_R_362_2409_2	2730	6.6616	6.6616	9.21601
MGYG000000001_1-MGYG000000001-1_2877719_aligned_163_R_28_2211_1	2201	6.77725	6.77725	7.17894
MGYG000000001_1-MGYG000000001-1_1286505_aligned_164_R_8_2087_1	2071	6.75038	6.75038	8.42194
MGYG000000001_1-MGYG000000001-1_1567605_aligned_165_R_0_2052_0	2011	6.90319	6.90319	9.07179
