#CAMI Format for Binning
@Version:0.9.0
@SampleID:_SAMPLEID_
@@SEQUENCEID	BINID
MGYG000000002_1-MGYG000000002-1_76540_aligned_75_R_27_16755_15	../bins/metabat2/mags/bin.1.fa
MGYG000000002_1-MGYG000000002-1_78315_aligned_76_R_46_16730_78	../bins/metabat2/mags/bin.1.fa
MGYG000000002_1-MGYG000000002-1_18202_aligned_78_R_2_16512_0	../bins/metabat2/mags/bin.1.fa
MGYG000000002_1-MGYG000000002-1_73507_aligned_79_R_1_16137_0	../bins/metabat2/mags/bin.1.fa
MGYG000000002_1-MGYG000000002-1_39924_aligned_80_R_24_16134_15	../bins/metabat2/mags/bin.1.fa
MGYG000000002_1-MGYG000000002-1_19285_aligned_81_R_4_15694_0	../bins/metabat2/mags/bin.1.fa
MGYG000000002_1-MGYG000000002-1_56790_aligned_85_R_173_14927_35	../bins/metabat2/mags/bin.1.fa
MGYG000000002_1-MGYG000000002-1_33627_aligned_88_R_128_13835_64	../bins/metabat2/mags/bin.1.fa
MGYG000000002_1-MGYG000000002-1_61719_aligned_91_R_498_13217_1551	../bins/metabat2/mags/bin.1.fa
MGYG000000002_1-MGYG000000002-1_6020_aligned_93_R_3857_12926_35	../bins/metabat2/mags/bin.1.fa
MGYG000000002_1-MGYG000000002-1_84828_aligned_95_R_0_12664_0	../bins/metabat2/mags/bin.1.fa
MGYG000000002_1-MGYG000000002-1_80404_aligned_98_R_3_12008_2	../bins/metabat2/mags/bin.1.fa
MGYG000000002_1-MGYG000000002-1_58031_aligned_102_R_1_10910_0	../bins/metabat2/mags/bin.1.fa
MGYG000000002_1-MGYG000000002-1_5939_aligned_104_R_8_10771_4	../bins/metabat2/mags/bin.1.fa
MGYG000000002_1-MGYG000000002-1_63420_aligned_106_R_83_10364_15	../bins/metabat2/mags/bin.1.fa
MGYG000000002_1-MGYG000000002-1_72455_aligned_108_R_4_10162_0	../bins/metabat2/mags/bin.1.fa
MGYG000000002_1-MGYG000000002-1_56656_aligned_109_R_2_9743_2	../bins/metabat2/mags/bin.1.fa
MGYG000000002_1-MGYG000000002-1_47908_aligned_110_R_140_9453_0	../bins/metabat2/mags/bin.1.fa
MGYG000000002_1-MGYG000000002-1_83202_aligned_111_R_23_9209_12	../bins/metabat2/mags/bin.1.fa
MGYG000000002_1-MGYG000000002-1_32668_aligned_115_R_342_8694_64	../bins/metabat2/mags/bin.1.fa
MGYG000000002_1-MGYG000000002-1_11227_aligned_117_R_12_8540_8	../bins/metabat2/mags/bin.1.fa
MGYG000000002_1-MGYG000000002-1_42596_aligned_118_R_5_8218_0	../bins/metabat2/mags/bin.1.fa
MGYG000000002_1-MGYG000000002-1_27949_aligned_137_R_6_5527_10	../bins/metabat2/mags/bin.1.fa
MGYG000000001_1-MGYG000000001-1_1015081_aligned_0_R_25_212132_8	../bins/metabat2/mags/bin.2.fa
MGYG000000001_1-MGYG000000001-1_1950107_aligned_1_R_245_193856_5	../bins/metabat2/mags/bin.2.fa
MGYG000000001_1-MGYG000000001-1_2867993_aligned_2_R_0_140577_0	../bins/metabat2/mags/bin.2.fa
MGYG000000001_1-MGYG000000001-1_2774720_aligned_3_R_1484_129768_14	../bins/metabat2/mags/bin.2.fa
MGYG000000001_1-MGYG000000001-1_2318539_aligned_4_R_19_124992_2	../bins/metabat2/mags/bin.2.fa
MGYG000000001_1-MGYG000000001-1_483667_aligned_5_R_28_96211_0	../bins/metabat2/mags/bin.2.fa
MGYG000000001_1-MGYG000000001-1_1424768_aligned_6_R_4_85334_12	../bins/metabat2/mags/bin.2.fa
MGYG000000001_1-MGYG000000001-1_181241_aligned_7_R_58_80127_0	../bins/metabat2/mags/bin.2.fa
MGYG000000001_1-MGYG000000001-1_2969612_aligned_10_R_0_66061_0	../bins/metabat2/mags/bin.2.fa
MGYG000000001_1-MGYG000000001-1_1005778_aligned_16_R_1_55787_0	../bins/metabat2/mags/bin.2.fa
MGYG000000001_1-MGYG000000001-1_2965824_aligned_17_R_1080_50705_10	../bins/metabat2/mags/bin.2.fa
MGYG000000001_1-MGYG000000001-1_852016_aligned_18_R_1_46220_2	../bins/metabat2/mags/bin.2.fa
MGYG000000001_1-MGYG000000001-1_688515_aligned_19_R_8_45957_2	../bins/metabat2/mags/bin.2.fa
MGYG000000001_1-MGYG000000001-1_1488309_aligned_22_R_19_42779_0	../bins/metabat2/mags/bin.2.fa
MGYG000000001_1-MGYG000000001-1_2953395_aligned_26_R_10_39337_2	../bins/metabat2/mags/bin.2.fa
MGYG000000001_1-MGYG000000001-1_3003282_aligned_27_R_35_39216_0	../bins/metabat2/mags/bin.2.fa
MGYG000000001_1-MGYG000000001-1_2082759_aligned_29_R_30_38749_0	../bins/metabat2/mags/bin.2.fa
MGYG000000001_1-MGYG000000001-1_2913118_aligned_31_R_41_33068_1	../bins/metabat2/mags/bin.2.fa
MGYG000000001_1-MGYG000000001-1_3050021_aligned_32_R_18_32910_12	../bins/metabat2/mags/bin.2.fa
MGYG000000001_1-MGYG000000001-1_1998009_aligned_33_R_1_31248_6	../bins/metabat2/mags/bin.2.fa
MGYG000000001_1-MGYG000000001-1_698220_aligned_34_R_21_31014_10	../bins/metabat2/mags/bin.2.fa
MGYG000000001_1-MGYG000000001-1_1507114_aligned_35_R_16_30150_2	../bins/metabat2/mags/bin.2.fa
MGYG000000001_1-MGYG000000001-1_2975419_aligned_38_R_25_28319_3	../bins/metabat2/mags/bin.2.fa
MGYG000000001_1-MGYG000000001-1_2219585_aligned_45_R_1_26082_48	../bins/metabat2/mags/bin.2.fa
MGYG000000001_1-MGYG000000001-1_1861483_aligned_48_R_5_25689_0	../bins/metabat2/mags/bin.2.fa
MGYG000000001_1-MGYG000000001-1_3198760_aligned_51_R_16_24234_0	../bins/metabat2/mags/bin.2.fa
MGYG000000001_1-MGYG000000001-1_631958_aligned_52_R_1_24212_0	../bins/metabat2/mags/bin.2.fa
MGYG000000001_1-MGYG000000001-1_751906_aligned_53_R_39_23678_1	../bins/metabat2/mags/bin.2.fa
MGYG000000001_1-MGYG000000001-1_1623487_aligned_54_R_0_23089_0	../bins/metabat2/mags/bin.2.fa
MGYG000000001_1-MGYG000000001-1_265627_aligned_55_R_398_22916_6	../bins/metabat2/mags/bin.2.fa
MGYG000000001_1-MGYG000000001-1_2768746_aligned_56_R_0_22514_13	../bins/metabat2/mags/bin.2.fa
MGYG000000001_1-MGYG000000001-1_116385_aligned_57_R_0_22387_0	../bins/metabat2/mags/bin.2.fa
MGYG000000001_1-MGYG000000001-1_315495_aligned_58_R_4_22263_21	../bins/metabat2/mags/bin.2.fa
MGYG000000001_1-MGYG000000001-1_1785866_aligned_59_R_6_22067_12	../bins/metabat2/mags/bin.2.fa
MGYG000000001_1-MGYG000000001-1_3055891_aligned_62_R_12_21758_5	../bins/metabat2/mags/bin.2.fa
MGYG000000001_1-MGYG000000001-1_1233426_aligned_63_R_6_21679_7	../bins/metabat2/mags/bin.2.fa
MGYG000000001_1-MGYG000000001-1_2676866_aligned_64_R_24_21289_17	../bins/metabat2/mags/bin.2.fa
MGYG000000001_1-MGYG000000001-1_244010_aligned_67_R_3_19882_15	../bins/metabat2/mags/bin.2.fa
MGYG000000001_1-MGYG000000001-1_1118468_aligned_68_R_0_19392_0	../bins/metabat2/mags/bin.2.fa
MGYG000000001_1-MGYG000000001-1_344612_aligned_70_R_1_17899_0	../bins/metabat2/mags/bin.2.fa
MGYG000000001_1-MGYG000000001-1_356259_aligned_71_R_16_17871_22	../bins/metabat2/mags/bin.2.fa
MGYG000000001_1-MGYG000000001-1_2663151_aligned_73_R_0_16910_0	../bins/metabat2/mags/bin.2.fa
MGYG000000001_1-MGYG000000001-1_2209272_aligned_74_R_43_16768_15	../bins/metabat2/mags/bin.2.fa
MGYG000000001_1-MGYG000000001-1_2660629_aligned_77_R_264_16554_249	../bins/metabat2/mags/bin.2.fa
MGYG000000001_1-MGYG000000001-1_759876_aligned_82_R_11_15656_20	../bins/metabat2/mags/bin.2.fa
MGYG000000001_1-MGYG000000001-1_1363249_aligned_83_R_1_15512_1	../bins/metabat2/mags/bin.2.fa
MGYG000000001_1-MGYG000000001-1_837417_aligned_84_R_0_15423_0	../bins/metabat2/mags/bin.2.fa
MGYG000000001_1-MGYG000000001-1_2768572_aligned_86_R_0_14798_0	../bins/metabat2/mags/bin.2.fa
MGYG000000001_1-MGYG000000001-1_131464_aligned_87_R_22_14262_0	../bins/metabat2/mags/bin.2.fa
MGYG000000001_1-MGYG000000001-1_520113_aligned_89_R_3_13462_20	../bins/metabat2/mags/bin.2.fa
MGYG000000001_1-MGYG000000001-1_109615_aligned_90_R_12_13251_17	../bins/metabat2/mags/bin.2.fa
MGYG000000001_1-MGYG000000001-1_2561468_aligned_96_R_47_12628_251	../bins/metabat2/mags/bin.2.fa
MGYG000000001_1-MGYG000000001-1_537024_aligned_97_R_27_12499_15	../bins/metabat2/mags/bin.2.fa
MGYG000000001_1-MGYG000000001-1_957941_aligned_99_R_16_11803_1	../bins/metabat2/mags/bin.2.fa
MGYG000000001_1-MGYG000000001-1_2246774_aligned_100_R_0_11319_0	../bins/metabat2/mags/bin.2.fa
MGYG000000001_1-MGYG000000001-1_766333_aligned_101_R_6_11068_0	../bins/metabat2/mags/bin.2.fa
MGYG000000001_1-MGYG000000001-1_376532_aligned_103_R_5_10842_0	../bins/metabat2/mags/bin.2.fa
MGYG000000001_1-MGYG000000001-1_1419536_aligned_105_R_19_10654_0	../bins/metabat2/mags/bin.2.fa
MGYG000000001_1-MGYG000000001-1_1780609_aligned_107_R_44_10350_4	../bins/metabat2/mags/bin.2.fa
MGYG000000001_1-MGYG000000001-1_2656049_aligned_112_R_2_9120_19	../bins/metabat2/mags/bin.2.fa
MGYG000000001_1-MGYG000000001-1_2388699_aligned_113_R_2_9064_18	../bins/metabat2/mags/bin.2.fa
MGYG000000001_1-MGYG000000001-1_1137080_aligned_114_R_23_8999_9	../bins/metabat2/mags/bin.2.fa
MGYG000000001_1-MGYG000000001-1_2122596_aligned_116_R_6_8595_10	../bins/metabat2/mags/bin.2.fa
MGYG000000001_1-MGYG000000001-1_1075096_aligned_119_R_0_8073_0	../bins/metabat2/mags/bin.2.fa
MGYG000000001_1-MGYG000000001-1_1829587_aligned_120_R_32_7752_0	../bins/metabat2/mags/bin.2.fa
MGYG000000001_1-MGYG000000001-1_1069485_aligned_121_R_8_7619_21	../bins/metabat2/mags/bin.2.fa
MGYG000000001_1-MGYG000000001-1_170640_aligned_122_R_82_7396_19	../bins/metabat2/mags/bin.2.fa
MGYG000000001_1-MGYG000000001-1_1540076_aligned_123_R_20_7409_0	../bins/metabat2/mags/bin.2.fa
MGYG000000001_1-MGYG000000001-1_1933464_aligned_125_R_3_7094_0	../bins/metabat2/mags/bin.2.fa
MGYG000000001_1-MGYG000000001-1_281383_aligned_126_R_29_7109_0	../bins/metabat2/mags/bin.2.fa
MGYG000000001_1-MGYG000000001-1_1455673_aligned_127_R_0_6945_0	../bins/metabat2/mags/bin.2.fa
MGYG000000001_1-MGYG000000001-1_2876993_aligned_128_R_2_6753_0	../bins/metabat2/mags/bin.2.fa
MGYG000000001_1-MGYG000000001-1_2268738_aligned_129_R_7_6805_0	../bins/metabat2/mags/bin.2.fa
MGYG000000001_1-MGYG000000001-1_110181_aligned_130_R_53_6576_0	../bins/metabat2/mags/bin.2.fa
MGYG000000001_1-MGYG000000001-1_46102_aligned_131_R_393_6557_1	../bins/metabat2/mags/bin.2.fa
MGYG000000001_1-MGYG000000001-1_105458_aligned_132_R_18_6307_0	../bins/metabat2/mags/bin.2.fa
MGYG000000001_1-MGYG000000001-1_2109693_aligned_133_R_15_6370_2	../bins/metabat2/mags/bin.2.fa
MGYG000000001_1-MGYG000000001-1_2406180_aligned_135_R_0_5778_0	../bins/metabat2/mags/bin.2.fa
MGYG000000001_1-MGYG000000001-1_272778_aligned_136_R_3_5655_11	../bins/metabat2/mags/bin.2.fa
MGYG000000001_1-MGYG000000001-1_52089_aligned_138_R_6_5441_0	../bins/metabat2/mags/bin.2.fa
MGYG000000001_1-MGYG000000001-1_937231_aligned_139_R_0_5337_0	../bins/metabat2/mags/bin.2.fa
MGYG000000001_1-MGYG000000001-1_918661_aligned_140_R_2_5329_15	../bins/metabat2/mags/bin.2.fa
MGYG000000001_1-MGYG000000001-1_18278_aligned_141_R_1_5143_0	../bins/metabat2/mags/bin.2.fa
MGYG000000001_1-MGYG000000001-1_611835_aligned_142_R_546_5054_7	../bins/metabat2/mags/bin.2.fa
MGYG000000001_1-MGYG000000001-1_544041_aligned_143_R_35_4995_68	../bins/metabat2/mags/bin.2.fa
MGYG000000001_1-MGYG000000001-1_209809_aligned_144_R_27_5019_65	../bins/metabat2/mags/bin.2.fa
MGYG000000001_1-MGYG000000001-1_2137029_aligned_145_R_11_4911_1	../bins/metabat2/mags/bin.2.fa
MGYG000000001_1-MGYG000000001-1_436836_aligned_147_R_0_4740_0	../bins/metabat2/mags/bin.2.fa
MGYG000000001_1-MGYG000000001-1_2857998_aligned_148_R_0_4699_0	../bins/metabat2/mags/bin.2.fa
MGYG000000001_1-MGYG000000001-1_925760_aligned_149_R_46_4381_1	../bins/metabat2/mags/bin.2.fa
MGYG000000001_1-MGYG000000001-1_2021450_aligned_150_R_23_4272_14	../bins/metabat2/mags/bin.2.fa
MGYG000000001_1-MGYG000000001-1_2519660_aligned_151_R_0_3820_22	../bins/metabat2/mags/bin.2.fa
MGYG000000001_1-MGYG000000001-1_2251926_aligned_152_R_30_3736_15	../bins/metabat2/mags/bin.2.fa
MGYG000000001_1-MGYG000000001-1_2757611_aligned_154_R_0_3609_0	../bins/metabat2/mags/bin.2.fa
MGYG000000001_1-MGYG000000001-1_969126_aligned_155_R_146_3429_19	../bins/metabat2/mags/bin.2.fa
MGYG000000001_1-MGYG000000001-1_2038002_aligned_157_R_0_2859_2	../bins/metabat2/mags/bin.2.fa
MGYG000000001_1-MGYG000000001-1_2144529_aligned_160_R_34_2786_3	../bins/metabat2/mags/bin.2.fa
